jamendo_id,title,duration,artist_name,album_name,audio_download,vocalinstrumental,lang,gender,acousticelectric,speed,genres,instruments
42363,Pimp pt. 2 aka Laid in Full,216,MackaRonny Iceberg,Gængsterr,https://mp3d.jamendo.com/download/track/42363/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb, pop",voice
3730,Grace,308,Chroma,Third (A remix),https://mp3d.jamendo.com/download/track/3730/mp32/,instrumental,NULL,neutral,acoustic,medium,electronic,NULL
43315,ADC is Back,170,ADC LEVEL,KLUB ZOMBI,https://mp3d.jamendo.com/download/track/43315/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"hiphop, electronic, ambient",NULL
4887,Voyageur,251,Tom La Meche,Voyageur,https://mp3d.jamendo.com/download/track/4887/mp32/,instrumental,NULL,male,electric,medium,"jazz, lounge, fusion, electronic","piano, drum, electricguitar"
34597,Putain ça m'use,206,bigmo,C'est ici qu'ça se passe,https://mp3d.jamendo.com/download/track/34597/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
7873, tous les massives,262,AfreecanXpress dkr bluez,Remember Senegal,https://mp3d.jamendo.com/download/track/7873/mp32/,vocal,NULL,male,NULL,veryhigh,"reggae, hiphop, world, rock",voice
77049,My SIster's Getting Married,351,Aesthetic Evidence,Words and Voices,https://mp3d.jamendo.com/download/track/77049/mp32/,vocal,NULL,NULL,NULL,veryhigh,"electronic, experimental, classical, pop",voice
34135,Dreaming of Hares on Hash,98,ANUG,Chamber Works,https://mp3d.jamendo.com/download/track/34135/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"classical, soundtrack",piano
244521,Solar Energy,362,Kevan Paul,Healing Again,https://mp3d.jamendo.com/download/track/244521/mp32/,instrumental,NULL,neutral,electric,medium,"soundtrack, jazz, newage, fusion","violin, synthesizer, electricguitar"
244717,DESPUES DE LAS IMAGENES,261,Gaby Cardoso,Fluvio,https://mp3d.jamendo.com/download/track/244717/mp32/,instrumental,es,male,electric,veryhigh,"pop, newage, ethno, soundtrack","strings, guitar, synthesizer"
33629,Man from nowhere,111,kaodenuit,Access Denied,https://mp3d.jamendo.com/download/track/33629/mp32/,instrumental,NULL,NULL,NULL,medium,"jazz, funk, world, jazzfunk",NULL
976,La colline apprivoisée,225,Damien Monet,Damien MONET aux Granges,https://mp3d.jamendo.com/download/track/976/mp32/,vocal,NULL,male,NULL,verylow,pop,"voice, piano"
109116,Campfire - As I Roved Out,157,Bluebox Sampler,Bluebox Sampler Vol. 2,https://mp3d.jamendo.com/download/track/109116/mp32/,vocal,NULL,male,NULL,medium,"rock, pop, reggae, electronic","voice, guitar"
117970,Le cas (Mille),264,Kaptain Bigg,"Sexe, Drogue et Cholestérol",https://mp3d.jamendo.com/download/track/117970/mp32/,vocal,NULL,male,NULL,veryhigh,"reggae, punk, ska, ragga",voice
101587,Progression,155,Agamemnon,Speleus,https://mp3d.jamendo.com/download/track/101587/mp32/,instrumental,NULL,NULL,NULL,medium,"soundtrack, newage","piano, strings"
12854,Bailar (Comical Spanish Dance),284,The TenGooz,Elixir,https://mp3d.jamendo.com/download/track/12854/mp32/,instrumental,NULL,male,NULL,medium,"funk, rnb",NULL
15247,Second chance,347,PIPEDREAMS,Suffering...,https://mp3d.jamendo.com/download/track/15247/mp32/,vocal,NULL,male,NULL,NULL,"rock, metal, hardrock","voice, guitar, drum"
49017,Afrokumina,263,Cyberdread,Kiddy Stuff,https://mp3d.jamendo.com/download/track/49017/mp32/,instrumental,NULL,NULL,NULL,veryhigh,world,NULL
35385,Bells Through the Leaves-Claude Debussy,273,Brent Hugh,Fantastic Rhapsodies,https://mp3d.jamendo.com/download/track/35385/mp32/,instrumental,NULL,NULL,NULL,verylow,classical,piano
36696,Pagode onirique,128,eNoz,Nuits de glace,https://mp3d.jamendo.com/download/track/36696/mp32/,vocal,NULL,neutral,electric,veryhigh,"electronic, soundtrack, ambient, oriental","strings, voice, computer"
13347,Du Rififi a Noubaka,286,Stan-X,Stan-X,https://mp3d.jamendo.com/download/track/13347/mp32/,instrumental,NULL,NULL,NULL,medium,jazz,"woodwind, guitar, drum"
85515,Improvisé,198,Jordanenko,Restrankyl,https://mp3d.jamendo.com/download/track/85515/mp32/,vocal,NULL,male,NULL,veryhigh,"rock, pop, reggae, folk","voice, guitar"
25400,Wisdom,188,DEREK,Wild and Free,https://mp3d.jamendo.com/download/track/25400/mp32/,instrumental,NULL,NULL,NULL,medium,"rock, metal, hardrock, electronic",strings
2532,Dance #2,565,Man-machine connexion,a collection of rare japanese dances,https://mp3d.jamendo.com/download/track/2532/mp32/,instrumental,NULL,neutral,electric,medium,"electronic, minimal, techno",NULL
17476,La Coda che Devi Prendere alle Giostre,156,Arthur Cravan,Anubis Gammatrik,https://mp3d.jamendo.com/download/track/17476/mp32/,instrumental,NULL,NULL,NULL,medium,"electronic, alternative, experimental, hiphop",NULL
13560,Réunion,100,Sacha Rives,Perlitudes,https://mp3d.jamendo.com/download/track/13560/mp32/,instrumental,NULL,NULL,NULL,veryhigh,classical,piano
25566,Melalum,209,Cool Cavemen,Fusion,https://mp3d.jamendo.com/download/track/25566/mp32/,vocal,NULL,male,electric,veryhigh,"rock, funk, pop, rnb","voice, guitar, woodwind"
24862,Shamrock,248,Crabtambour,Colors,https://mp3d.jamendo.com/download/track/24862/mp32/,instrumental,NULL,NULL,NULL,NULL,"classical, soundtrack",keyboard
73054,Funky,204,FunkyJu,Détournement de Son,https://mp3d.jamendo.com/download/track/73054/mp32/,instrumental,NULL,neutral,electric,medium,"funk, reggae, rock, blues","guitar, drum"
1604,Mysterious Cromleck,276,SEBRIDER,Voyages,https://mp3d.jamendo.com/download/track/1604/mp32/,instrumental,NULL,NULL,NULL,medium,"electronic, easylistening, soundtrack",NULL
26894,Indian Tropical,316,Red Lion,II,https://mp3d.jamendo.com/download/track/26894/mp32/,instrumental,NULL,neutral,electric,medium,world,"drum, piano, guitar"
19337,Guerre Sainte,420,Greg V,Maux de Terre,https://mp3d.jamendo.com/download/track/19337/mp32/,vocal,NULL,male,NULL,NULL,"rock, metal, hardrock","voice, guitar, drum"
78643,Rivers cry sometimes (Le Tigre & l'Euphrate),256,mmb digidesigns,Oriental Resilience,https://mp3d.jamendo.com/download/track/78643/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"world, electronic, ambient, experimental",NULL
31985,L'exil d'Ursula,152,Circus Marcus,Danse Rémy,https://mp3d.jamendo.com/download/track/31985/mp32/,instrumental,NULL,NULL,acoustic,NULL,"classical, minimal",piano
11773,Mon beau sympa,122,Tom La Meche,Blog,https://mp3d.jamendo.com/download/track/11773/mp32/,instrumental,NULL,neutral,electric,medium,"jazz, improvisation, blues, bossanova",guitar
106640,The Reply,119,Mudit Sood,A Pal From Outer World,https://mp3d.jamendo.com/download/track/106640/mp32/,instrumental,NULL,NULL,NULL,veryhigh,newage,NULL
285027,Freiheitsmelodie,274,Klangachse,Das Leben In Der Achse,https://mp3d.jamendo.com/download/track/285027/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"lounge, newage, electronic, triphop","piano, guitar"
26440,Chase,113,Celestial Aeon Project,Adventure,https://mp3d.jamendo.com/download/track/26440/mp32/,instrumental,NULL,neutral,electric,NULL,"soundtrack, orchestral","strings, brass"
2710,Assis sur cette tombe,63,Manella,Manatlan,https://mp3d.jamendo.com/download/track/2710/mp32/,vocal,NULL,male,NULL,medium,"pop, folk","voice, guitar"
5857,Picture Perfect(Soulfull funk),213,The TenGooz,Strange Chord,https://mp3d.jamendo.com/download/track/5857/mp32/,vocal,NULL,male,NULL,medium,"rnb, funk, soul","voice, guitar"
21982,Pop3,141,Labogalak,Pop3 & co.,https://mp3d.jamendo.com/download/track/21982/mp32/,vocal,fr,male,electric,veryhigh,"pop, rock, world, dance","electricguitar, bass, drum"
12261,L'espoir fait vivre,234,Mekah,Instinct de Survie (2eme partie),https://mp3d.jamendo.com/download/track/12261/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
246572,Magica Melodia,125,Fabio Confalone,OST,https://mp3d.jamendo.com/download/track/246572/mp32/,instrumental,NULL,neutral,acoustic,veryhigh,"soundtrack, classical, newage, ambient","strings, brass, woodwind"
246352,En Los Campos Del Oráculo,429,Santiago Trigueros,El Valle De Los Sueños,https://mp3d.jamendo.com/download/track/246352/mp32/,instrumental,NULL,NULL,NULL,NULL,"soundtrack, newage, electronic, easylistening",piano
79401,Go Manhattan,346,mc@b,REMEMBER ,https://mp3d.jamendo.com/download/track/79401/mp32/,instrumental,NULL,NULL,NULL,medium,"reggae, electronic, classical",NULL
43769,The lyrical wonder (produced by Moodstarrr),225,Moodstarrr Productions,Early Bong Adventures Vol. 1,https://mp3d.jamendo.com/download/track/43769/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"triphop, hiphop",NULL
184207,REFLEJOS DE LUNA,144,Patricio Echeverría Dalgo,EL OTRO LADO DE LA LUNA,https://mp3d.jamendo.com/download/track/184207/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"newage, jazz",piano
78469,Maman,189,RV,Maman,https://mp3d.jamendo.com/download/track/78469/mp32/,NULL,NULL,NULL,NULL,NULL,bossanova,NULL
5207,In the beginning,270,The shining men,Hole EP,https://mp3d.jamendo.com/download/track/5207/mp32/,instrumental,NULL,NULL,NULL,medium,"electronic, alternative, experimental, techno",NULL
5994,Industrial myst,328,Xtremist,Aberrations EP,https://mp3d.jamendo.com/download/track/5994/mp32/,instrumental,NULL,neutral,electric,veryhigh,"electronic, experimental, noise, alternative",NULL
22886,The First Emotion (intro),58,mindthings,The First Emotion,https://mp3d.jamendo.com/download/track/22886/mp32/,instrumental,NULL,neutral,electric,veryhigh,"classical, soundtrack, chillout, electronic",piano
43868,Control your destiny (produced by Moodstarrr),61,Moodstarrr Productions,Early Bong Adventures Vol. 2,https://mp3d.jamendo.com/download/track/43868/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"hiphop, trip",NULL
17844,Possessive attitude,144,Redmind,Possessive Attitude,https://mp3d.jamendo.com/download/track/17844/mp32/,vocal,en,male,electric,high,"rock, metal, hardcore","drum, guitar, electricguitar"
2266,Colombia,161,Guarapita,Si hay!,https://mp3d.jamendo.com/download/track/2266/mp32/,vocal,NULL,male,NULL,veryhigh,"rock, ska, punk, dub","voice, guitar"
744,Intuition,335,Gina Artworth,sans titre,https://mp3d.jamendo.com/download/track/744/mp32/,instrumental,NULL,NULL,NULL,veryhigh,rock,"guitar, drum, piano"
4322,les Commod's aux commandes,101,The Commod's,Genèse d'une étoile,https://mp3d.jamendo.com/download/track/4322/mp32/,vocal,NULL,male,NULL,NULL,"hiphop, rnb",voice
12299,Bonus - Night city,211,Santiago Louvet,Manos Unidas,https://mp3d.jamendo.com/download/track/12299/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"hiphop, rnb",NULL
33552,Ech glaube,152,Direct Raption,Direct Raption,https://mp3d.jamendo.com/download/track/33552/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rap, rnb",voice
39910,Opuszczona Dolina,302,Nerious,Pejzaże,https://mp3d.jamendo.com/download/track/39910/mp32/,instrumental,NULL,NULL,NULL,verylow,"newage, soundtrack","strings, woodwind, piano"
38931,El mensaje - Los Intokables,235,Los Intokables del reggaeton,From My Guetto,https://mp3d.jamendo.com/download/track/38931/mp32/,vocal,es,male,electric,veryhigh,"hiphop, rnb",voice
9940,La vie à perpétuité,220,Kaiser IK,Et la lumière fut,https://mp3d.jamendo.com/download/track/9940/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
49030,Pire Que ça,144,Cyril.G Pereira,The Revenge of Glory,https://mp3d.jamendo.com/download/track/49030/mp32/,instrumental,NULL,neutral,NULL,verylow,"soundtrack, orchestral, classical",piano
23767,Eden,228,CAEROU,CAEROU,https://mp3d.jamendo.com/download/track/23767/mp32/,instrumental,NULL,female,electric,medium,"easylistening, electronic, world",guitar
3153,Da City Hall,180,BoX,Demo 2k5,https://mp3d.jamendo.com/download/track/3153/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"rock, metal, hardrock",guitar
37520,2 - Why,90,Tha Silent Partner,Tha Silent Partner V.S. Cold_ELF-Silent_ELVES,https://mp3d.jamendo.com/download/track/37520/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"triphop, downtempo, hiphop",NULL
3200,Fait divers-ion,223,Les Asskronotes,On a marché sur la Une,https://mp3d.jamendo.com/download/track/3200/mp32/,vocal,NULL,male,NULL,NULL,rock,"voice, guitar, drum"
42349,Gængsterr,225,MackaRonny Iceberg,Gængsterr,https://mp3d.jamendo.com/download/track/42349/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, disco, funk","voice, guitar"
25081,FRANCE (Ft. TOKRISS & CRAZYRIN),272,CIACIA,MES INVITES,https://mp3d.jamendo.com/download/track/25081/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
7833,The Roots,305,Mac Lomig,The Celtronic Project,https://mp3d.jamendo.com/download/track/7833/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"celtic, electronic, world",piano
10129,Cadasito Exquidaver,316,Vodevil,Sancti Spiritu,https://mp3d.jamendo.com/download/track/10129/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"pop, rock, reggae, powerpop",guitar
24363,Meneando rimas,216,nkoemcee,BBOY COLEANDO,https://mp3d.jamendo.com/download/track/24363/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
14023,First steps,127,Galdson,Roots,https://mp3d.jamendo.com/download/track/14023/mp32/,instrumental,NULL,neutral,electric,verylow,classical,piano
33296,"Kashi, le combat",210,Mad in H,"B.O. du DVD ""Kings of Europe""",https://mp3d.jamendo.com/download/track/33296/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
8280,Grenouilles et marécages,300,Philippe Mangold,IGAPO,https://mp3d.jamendo.com/download/track/8280/mp32/,instrumental,NULL,NULL,NULL,medium,"soundtrack, world, newage","piano, strings"
45924,Rumberos,250,Red Lion,III,https://mp3d.jamendo.com/download/track/45924/mp32/,instrumental,NULL,neutral,electric,veryhigh,"world, jazz",NULL
38775,Bassine,63,Fadièse,"Pomponette II, le retour",https://mp3d.jamendo.com/download/track/38775/mp32/,instrumental,NULL,neutral,electric,veryhigh,classical,"guitar, piano"
12781,Choix 2 vies,266,Idayam,Idayam,https://mp3d.jamendo.com/download/track/12781/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb","voice, guitar"
16083,High Tide,444,OMAÏNEN,The Death Of The Nations,https://mp3d.jamendo.com/download/track/16083/mp32/,vocal,NULL,male,NULL,NULL,"metal, rock, hardrock, thrashmetal","voice, guitar, drum"
5828,Drawing the line of life,402,Urmal Vesnat,Dark sounds EP,https://mp3d.jamendo.com/download/track/5828/mp32/,instrumental,NULL,neutral,electric,veryhigh,"soundtrack, electronic, alternative, experimental",NULL
1667,Calling the Angel,272,Guess,Open your eyes,https://mp3d.jamendo.com/download/track/1667/mp32/,vocal,NULL,male,NULL,veryhigh,"rock, pop","voice, guitar, drum"
73056,Bluesy,223,FunkyJu,Détournement de Son,https://mp3d.jamendo.com/download/track/73056/mp32/,instrumental,NULL,neutral,electric,veryhigh,"rock, blues, reggae, funk","guitar, electricguitar"
196255,Fantasía,199,Maya Filipič,Between two worlds,https://mp3d.jamendo.com/download/track/196255/mp32/,instrumental,NULL,neutral,electric,veryhigh,"classical, electronic, lounge, newage",piano
15958,Sociedad Enferma,292,ARAI,SOCIEDAD ENFERMA,https://mp3d.jamendo.com/download/track/15958/mp32/,vocal,es,male,electric,high,"metal, rock, hardrock","voice, guitar, drum"
19285,Le résumé,182,F.A.B,Soleil d'hiver,https://mp3d.jamendo.com/download/track/19285/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
24835,Ta Prohm,73,Real Rice,Un arrière-goût de cannelle,https://mp3d.jamendo.com/download/track/24835/mp32/,instrumental,NULL,neutral,acoustic,verylow,"soundtrack, classical","keyboard, trumpet, strings"
6016,Earthmen (Version Dub),150,ZAMALA,Requiem pour un split,https://mp3d.jamendo.com/download/track/6016/mp32/,instrumental,NULL,NULL,NULL,veryhigh,reggae,guitar
674,Paris,212,Le P'tit Jean,12 Petits Chants,https://mp3d.jamendo.com/download/track/674/mp32/,vocal,NULL,male,NULL,veryhigh,"pop, popfolk",voice
